CEA,META
15961,28.187
14697,24.61
15965,8.145
14666,31.896
15584,14.247
15933,90.418
14664,24.316
15585,29.593
14626,23.024
15930,24.363
14665,52.588
14696,31.582
14653,47.099
14699,27.101
16755,38.343
16764,22.576
14671,30.583
14650,36.643
14698,42.071
14662,34.485
14623,24.416
15964,22.252
15940,199.031
16761,14.078
16763,14.854
14659,26.618
15936,20.426
15935,9.3
16780,62.673
16757,19.048
14693,26.908
15932,19.313
15958,54.819
14632,57.661
16772,22.35
15966,33.18
15953,18.829
16770,36.023
14582,19.117
16759,19.745
15575,39.524
14652,42.621
14644,22.6
15564,8.658
15565,34.446
15571,60.072
15581,15.229
14691,41.985
15948,27.82
14603,10.849
14678,51.59
15959,32.051
14593,14.697
15950,27.347
14676,14.067
14642,67.966
15947,33.541
15563,19.452
15567,19.646
15973,22.723
15927,32.099
15938,32.4
14647,26.494
16760,41.631
15925,10.703
16756,47.078
16771,17.877
16776,40.126
15578,17.179
15945,27.722
14682,60.765
16765,11.155
14579,26.66
14651,62.272
15967,25.187
15972,23.319
16775,24.677
14638,22.478
15941,19.517
14658,64.418
15946,31.208
14683,34.378
15939,59.585
14581,29.742
15570,49.41
16773,15.568
15924,41.33
15951,12.399
14627,24.883
15956,23.387
15923,38.818
14672,69.039
15577,39.296
16762,14.859
14624,28.556
14636,30.82
14591,23.827
15970,26.962
14637,20.22
14578,47.771
14670,38.122
14645,57.235
14628,103.036
14634,60.048
14687,29.532
15962,16.677
15929,31.01
15576,55.115
16754,11.331
14667,23.181
15943,37.808
16769,37.346
15952,21.142
15572,36.918
15922,24.115
16758,10.497
14619,17.625
14592,5.115
14600,19.784
15569,44.698
14680,23.57
14622,25.21
14686,19.982
14668,52.194
15957,13.164
14684,18.04
15963,22.521
14588,15.001
15969,16.955
14583,24.233
15937,22.275
15573,20.102
15971,15.193
14629,31.996
14621,36.263
15579,24.955
14657,27.395
15928,38.918
15574,32.789
14635,21.912
16767,28.531
14631,4.725
15968,39.261
16768,67.218
15974,13.175
16766,14.415
14633,31.138
15955,9.474
15921,25.483
14694,25.603
14611,25.516
15954,15.063
14656,33.413
15919,56.721
16774,29.344
14640,31.54
14586,35.235
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
