"CAR_SE_ALOPER";"NUM_OPER_ALIM_ALOPER";"NOME_ALOPER";"TOT_CONS_ALOPER";"TOT_KVA_ALOPER";"QTDE_POSTO_ALOPER";"COMPRIM_TOT_ALOPER";"NVL(AO.INDIC_ALIM_EXPRES_ALOPER,'N')";"CONJUNTO"
75254;752545341;HERMES VISSOTO;1454;5394;116;42.12;N;15572
75254;752545342;PORTO CAMARGO;1109;14316;366;142.08;N;15572
75594;755945343;COLPAR;3172;10165;163;41.76;N;14691
75594;755945344;RONCOLATO;2781;14486;421;198.54;N;14691
75024;750245345;ESPERANCA;2149;15385;251;131.16;N;14696
72570;725705346;CASCATINHA;1890;6668;68;44.53;N;14659
71900;719005347;SANEPAR;179;11550;5;2.25;N;16775
72570;725705348;SANTA ROSA;3415;7192;134;59.81;N;14659
72500;725005349;BATALHAO;2453;14718;93;13.04;N;15577
72500;725005350;FLORESTA;2140;11148;80;14.47;N;15577
71900;719005351;JARDIM IPE;8622;11772;115;22.63;N;16775
72770;727705352;UNICENTRO;4473;8535;103;24.96;N;14642
72500;725005353;BELVEDERE;3460;14598;150;28.54;N;15577
72500;725005354;BEIRA RIO;3705;17810;143;21.78;N;15577
74743;747435355;VALE;4397;9898;122;21.97;N;15567
72500;725005356;PETROPOLIS;3927;7478;92;14.24;N;15577
72500;725005357;LANCASTER;1690;9538;79;11.61;N;15577
72500;725005358;VIADUTO;1189;11102;46;9.48;N;15577
75264;752645359;SOALGO;3386;16290;311;118.24;N;14691
75234;752345361;BARREIRO;1228;5856;116;80.44;N;14659
72205;722055362;ITAQUI;1;0;0;0.02;N;14684
72205;722055363;CIDADE 2;1;0;0;0.02;N;14684
72205;722055364;EXPEDICIONARIOS;1;0;0;0.03;N;14684
72205;722055365;INCEPA;2;0;0;0.03;N;14684
72205;722055366;CIDADE 1;1;0;0;0.03;N;14684
72370;723705367;CHRYSLER 1;0;10000;0;1.24;N;14684
72370;723705368;TRITEC 1;0;150;1;0.25;N;14684
72370;723705369;CHRYSLER 2;0;0;0;1.26;N;14684
72370;723705371;CERAMICA;0;0;0;0.05;N;14684
72370;723705373;TRES CORREGOS;0;0;0;0.05;N;14684
72370;723705375;COMBIBLOC;0;0;0;0.06;N;14684
75129;751295377;IBICATU;308;4994;103;97.78;N;14659
75129;751295378;RONDON;2606;4500;60;14.62;N;14659
75594;755945379;CASA BRANCA;1448;11168;506;237.03;N;14691
75319;753195380;AGUA DAS ANTAS;2562;13103;334;224.18;N;14659
72206;722065381;MACEIO;2344;12630;208;63.69;N;14683
72206;722065382;FLORIANOPOLIS;2225;7822;79;15.49;N;14683
75319;753195383;BARRA DOURADA;1486;6950;97;33.77;N;14659
75630;756305384;JOAO PESSOA;2969;9750;198;74.68;N;16780
75264;752645385;CASTELO BRANCO;3078;9512;97;17.18;N;14691
75167;751675386;PAREDAO;1201;11858;931;365.16;N;15959
75925;759255387;RIO;2354;7340;71;15.2;N;15929
72980;729805389;SANTA ROSA;1641;7212;44;11.54;N;15927
71400;714005390;CARBONIFERAS;764;6146;49;35.72;N;15940
71400;714005391;FIGUEIRA;2527;7242;79;19.88;N;15940
71400;714005392;SAPOPEMA;0;0;0;0.01;N;15940
74045;740455393;COUTO PEREIRA;4288;29488;77;8.17;N;15925
72583;725835394;TRAJANO;4574;10752;125;29.14;N;15565
75775;757755395;RIO BAIO;304;3552;115;32.78;N;14687
74130;741305396;SHOPPING CURITIBA;270;8858;8;1.58;N;16758
74130;741305397;ESTACAO SHOW;5673;39982;85;6.97;N;16758
74130;741305398;CRISTAL PLAZA;788;14768;38;3.58;N;16758
74130;741305399;CEFET;5348;22000;65;6.48;N;16758
72900;729005400;VILA ESPERANCA;6748;14090;156;26.42;N;15929
75786;757865401;PATROCINIO;2254;10970;296;98.41;N;14691
72980;729805402;MIGUEL FORTES;3649;10188;240;65.94;N;15927
72980;729805403;PORTO VITORIA;794;13199;371;129.83;N;15927
72020;720205404;SANEPAR;3694;17142;577;250.37;N;14691
75789;757895405;DAMASCO;3532;7568;88;20.79;N;14687
75974;759745406;POPULAR;1363;5812;143;42.69;N;15572
75925;759255407;LONGE VISTA;2614;11170;98;24.46;N;15929
72020;720205408;PAREDAO;1764;10106;418;157.7;N;14691
72020;720205409;COCAMAR;3239;14658;412;180.06;N;14691
75974;759745410;ROBERTO SILVEIRA;238;4550;126;128.12;N;15572
71830;718305411;EMBOQUE;1803;19960;915;254.39;N;14687
75167;751675412;SANTANA;1930;20451;1246;464.24;N;15959
74145;741455414;ARACA;502;7365;9;3.96;N;16759
75998;759985415;GUABIROBA;870;16350;273;129.63;N;14638
74200;742005416;REBOUCAS;810;5428;28;4.49;N;15974
74200;742005417;JOAO NEGRAO;3285;24510;58;6.02;N;15974
72823;728235418;COLONIAS;945;14242;544;204.03;N;14638
74200;742005419;JUVEVE;5179;13438;89;7.74;N;15974
72290;722905420;PARAIBA;3026;18498;317;103.28;N;14672
75262;752625421;POMBAL;816;9182;474;158;N;15947
74200;742005422;CENTRO CIVICO;3620;15108;70;5.57;N;15974
74200;742005423;SETE DE SETEMBRO;835;19475;37;6.95;N;15974
74200;742005424;DOUTOR FAIVRE;5508;23140;90;7.18;N;15974
75174;751745425;JARDIM MIRELLE;2716;5565;89;20.29;N;15940
71800;718005426;BARAUNA;3799;13865;164;43.26;N;15574
72290;722905427;ESTACAO;3752;11230;118;23.44;N;14672
75262;752625428;REDENTOR;2429;8100;109;22.77;N;15947
74210;742105429;FRANCA;1600;10000;22;5.285;N;14592
74210;742105430;AMERICA;1995;14500;29;5.627;N;14592
74210;742105431;BRASIL;1722;14000;29;4.964;N;14592
74210;742105432;CANADA;1890;14500;27;5.293;N;14592
74210;742105433;DINAMARCA;0;0;0;4.938;N;14592
74210;742105434;EUROPA;1926;14000;26;5.515;N;14592
74210;742105435;HOLANDA;973;11500;23;5.24;N;14592
74210;742105436;ITALIA;0;0;0;4.416;N;14592
74210;742105437;JAPAO;1414;10000;23;5.148;N;14592
74210;742105438;GRECIA;1650;10000;22;4.591;N;14592
72988;729885439;RECANTO FELIZ;1;1414;0;201.02;N;16770
72290;722905441;CENTRO;3466;14690;115;14.42;N;14672
72290;722905442;CHEINA;5813;19848;191;35.04;N;14672
72988;729885443;XARQUINHO;1;0;0;0.01;N;16770
72985;729855444;REGENTE;3363;16010;89;12.26;N;15573
75759;757595445;STO ANTONIO DO CAIUA;1433;9972;305;265.3;N;15945
72290;722905446;CIANORTINHO;199;13235;119;60.06;N;14672
75679;756795448;RELIQUIA;779;8930;226;134.98;N;14651
75559;755595449;CRUZEIRO DO SUL;2118;10198;284;123.33;N;15945
75723;757235450;RUBI;3769;8888;123;61.05;N;14665
75849;758495451;INDUSEM;4101;10813;177;87.03;N;14665
72988;729885452;COAMIG;1;0;0;0.02;N;16770
75786;757865453;GURUCAIA;1764;13972;534;234.8;N;14691
72988;729885454;GUARANI;0;0;0;0.02;N;16770
72575;725755455;CENTRO;0;0;0;0.01;N;14619
72575;725755457;MANOEL RIBAS;0;0;0;0.01;N;14619
72575;725755458;MORRO ALTO;0;0;0;0.01;N;14619
74125;741255460;RIVIERA;990;20392;70;17.08;N;15579
72575;725755461;BOQUEIRAO;1;0;0;0.01;N;14619
75749;757495462;GRAZINA;2504;12325;83;16.16;N;15967
72575;725755463;BRIGADEIRO ROCHA;0;0;0;0.01;N;14619
72575;725755464;VILA PEQUENA;0;0;0;0.01;N;14619
75261;752615465;TRES PONTES;372;4416;112;92.1;N;15565
75634;756345466;FERNANDES PINHEIRO;1016;8042;92;50.59;N;15565
75634;756345467;JOSE VIANA;2242;9012;110;27.98;N;15565
74125;741255468;SANTANA;2333;23718;96;18.27;N;15579
72930;729305469;XAXIM;1253;35113;708;277.47;N;15928
74045;740455470;BASE AEREA;1695;7960;46;7.91;N;15925
71480;714805471;MADEIRAS;138;17030;52;13.35;N;15941
72583;725835472;LAGOA;4106;16878;447;160.2;N;15565
75459;754595473;MARQUINHO;600;4275;117;67.3;N;14659
75614;756145474;PARANAPANEMA;1780;9375;70;57.14;N;14659
75239;752395475;CERTOL;957;13784;783;351.12;N;14668
75634;756345478;ANGAI;1229;11418;605;259.89;N;15565
71730;717305479;MERGULHAO;3708;10732;85;11.16;N;15919
71730;717305480;JACUMIRIM;1874;26368;113;26.6;N;15919
75742;757425481;PANORAMA;2054;10375;198;141.64;N;14666
75742;757425482;LOYOLA;1296;4522;52;14.86;N;14666
75294;752945483;BANDEIRANTES;2033;11710;92;55.72;N;14698
75749;757495485;JACUACU;1560;13551;410;181.83;N;15967
75294;752945486;MARANHAO;1096;13982;73;42.55;N;14698
75296;752965487;TIBAGI;457;2922;62;23.48;N;14671
75957;759575488;ITAIPU;4593;14348;167;34.38;N;15577
75957;759575489;UNIVERSITARIO;4400;8722;117;26.35;N;15577
71050;710505494;BIGUACU;5164;10002;173;65.94;N;16755
75296;752965496;IRPASA;1576;7688;122;49.43;N;14671
74755;747555497;IMBITUBA;45;10858;2;1.98;N;15922
75122;751225498;ROSEIRA;2569;17623;368;172.65;N;14671
75122;751225499;FERROVIARIO;3103;7546;167;58.92;N;14671
75082;750825500;PEDERNEIRAS;4233;26123;840;279.04;N;15973
75270;752705501;CARAMURU;1396;14495;108;33.67;N;14626
74145;741455502;SAVANA;3961;9892;93;16.67;N;16759
75270;752705503;PANAMA;16;1762;4;1.63;N;14626
71050;710505504;AMERICA;2998;10490;85;15.72;N;16755
75270;752705505;PORTAL DO SOL;1247;12795;64;13.68;N;14626
74050;740505506;FONTE NOVA;6597;14178;140;21.97;N;15924
72630;726305507;ANTARES;5127;8392;111;26.25;N;14650
71480;714805508;CAPIVARI;4605;7820;128;26.42;N;15941
71300;713005509;DEVILLE;5510;8965;100;23.84;N;14668
74745;747455510;CACHOEIRA;5054;13112;112;14.76;N;15921
71050;710505511;MOQUEM;3252;17580;106;17.94;N;16755
71730;717305512;ARAPONGA;64;870;3;4.75;N;15919
75211;752115513;VILA SANTA MARIA;295;3045;39;8.97;N;15927
72821;728215514;SHOPPING;7175;25695;225;39.9;N;14640
75211;752115515;PIQUIRI;85;1122;47;15.1;N;15927
72821;728215516;FAG;3832;12895;110;24.83;N;14640
75405;754055517;ANIS;4427;16565;226;46.17;N;14658
74674;746745518;JUAZEIRO;4986;18828;117;21.48;N;14581
74745;747455519;NUTRIMENTAL;3071;5632;58;9.55;N;15921
74745;747455520;MURICY;2566;29628;108;25.45;N;15921
74050;740505521;CSN;8911;11758;164;33.95;N;15924
75217;752175522;MONTE CASTELO;2683;8186;92;27.54;N;15927
75610;756105523;FUNDAO;881;15430;409;152.99;N;14628
74877;748775524;VIRIATO;3946;20190;99;12.13;N;15564
72821;728215525;VITORIA;5101;14130;107;17.6;N;14640
74877;748775526;ZANLORENZI;5081;25925;161;22.19;N;15564
74745;747455527;SAO PEDRO;3893;21705;69;11.51;N;15921
72589;725895528;MONGE;5972;11845;271;81.07;N;14652
71050;710505529;FRIGOSANTO;3182;19050;117;25.52;N;16755
71050;710505530;AGRICOLA;4852;6675;84;16.64;N;16755
72824;728245531;MARRECO;806;5475;20;4.62;N;14637
74745;747455532;SOMMER;1330;17635;35;9.17;N;15921
71050;710505533;VILA REIS;921;1372;15;6.76;N;16755
72930;729305534;PIONEIRO;1843;15290;183;73.45;N;15928
74090;740905535;SANTA CANDIDA;7021;13232;140;21.09;N;15923
75451;754515536;RAINHA;511;9458;98;115.25;N;14645
72995;729955537;JL;3699;13418;121;17.79;N;15575
