"ANO";"CEA";"NOME_CEA";"NUC_RURAL";"NUC_URBANO";"NUC_TOTAL";"DEC_URBANO";"DEC_RURAL";"DEC_TOTAL_CONJUNTO";"META_DEC";"FEC_URBANO";"FEC_RURAL";"FEC_TOTAL_CONJUNTO";"META_FEC";"ATENDE_DEC";"ATENDE_FEC"
2025;14578;QUATRO BARRAS;7748;26694;34442;10.9985;44.8215;18.5585;11;8.6418;20.3891;11.2695;8;NÃO;NÃO
2024;14578;QUATRO BARRAS;7550;26315;33865;13.732;50.6215;21.86;12;9.1052;20.0504;11.5185;8;NÃO;NÃO
2023;14578;QUATRO BARRAS;7227;25749;32976;9.5195;52.6252;18.8379;12;6.3926;21.5743;9.6747;8;NÃO;NÃO
2022;14578;QUATRO BARRAS;6951;25320;32271;10.5567;44.4911;17.8447;13;10.9484;17.362;12.3252;9;NÃO;NÃO
2025;14579;PIRAQUARA;2243;23138;25317;10.5022;29.097;12.1489;9;6.0124;15.892;6.8888;7;NÃO;SIM
2024;14579;PIRAQUARA;2192;22589;24780;12.8052;27.4114;14.0896;9;9.625;11.8866;9.8238;7;NÃO;NÃO
2023;14579;PIRAQUARA;2132;22295;24426;9.984;31.7869;11.8772;9;6.43;14.8412;7.1604;7;NÃO;NÃO
2022;14579;PIRAQUARA;2065;22054;24119;10.5867;26.8257;11.9685;10;7.3336;11.2511;7.6668;8;NÃO;SIM
2025;14581;PINHAIS;68;42534;42602;4.1133;8.9211;4.1209;6;2.7924;5.1089;2.7961;5;SIM;SIM
2024;14581;PINHAIS;65;41368;41433;4.7307;31.2207;4.7708;6;3.3472;18.1557;3.3697;5;SIM;SIM
2023;14581;PINHAIS;62;40317;40377;4.8029;14.8448;4.8182;6;2.7991;7.1304;2.8056;5;SIM;SIM
2022;14581;PINHAIS;60;39420;39480;4.9389;4.482;4.9382;7;5.4957;5.4755;5.4957;6;SIM;SIM
2025;14582;MOURAO-I;3028;7511;10532;5.6736;23.2787;10.7351;14;4.1029;10.0924;5.8249;8;SIM;SIM
2024;14582;MOURAO-I;2994;7395;10380;10.3592;25.2757;14.6722;14;8.2885;12.9101;9.6255;9;NÃO;NÃO
2023;14582;MOURAO-I;2984;7282;10251;9.6043;32.1199;16.1518;15;7.4393;12.704;8.9712;9;NÃO;SIM
2022;14582;MOURAO-I;2983;7216;10199;10.223;27.408;15.2401;15;6.8489;12.3543;8.4562;10;NÃO;SIM
2025;14583;MORRETES;5291;11917;17208;10.6663;30.7654;16.8148;14;6.0416;15.1204;8.8191;10;NÃO;SIM
2024;14583;MORRETES;5182;11800;16982;12.9112;53.65;25.2722;14;9.4636;23.329;13.6735;10;NÃO;NÃO
2023;14583;MORRETES;5061;11698;16728;11.7675;43.0538;21.1553;14;9.2697;18.4633;12.0256;10;NÃO;NÃO
2022;14583;MORRETES;4970;11638;16608;11.0849;42.7804;20.4904;14;9.1842;17.119;11.5411;11;NÃO;NÃO
2025;14586;GUARAITUBA;1594;40172;41764;4.3106;17.5829;4.8138;6;3.8935;10.4168;4.141;6;SIM;SIM
2024;14586;GUARAITUBA;1543;39406;40949;8.0813;22.3637;8.6158;6;7.5792;14.5917;7.8415;6;NÃO;NÃO
2023;14586;GUARAITUBA;1504;38723;40227;5.1898;16.295;5.6023;7;5.9478;12.622;6.1954;6;SIM;NÃO
2022;14586;GUARAITUBA;1454;38243;39692;6.8389;15.3037;7.1467;7;7.066;9.5951;7.1582;7;NÃO;NÃO
2025;14588;CAMPO DO ASSOBIO;3764;4674;8406;10.3514;34.9581;21.3693;15;6.0477;15.7663;10.4005;9;NÃO;NÃO
2024;14588;CAMPO DO ASSOBIO;3676;4488;8164;4.541;36.8525;19.0293;15;2.1202;17.1437;8.855;9;NÃO;SIM
2023;14588;CAMPO DO ASSOBIO;3512;4330;7842;9.1295;27.6625;17.3678;15;6.0469;14.0908;9.6181;10;NÃO;SIM
2022;14588;CAMPO DO ASSOBIO;3400;4232;7632;7.5601;28.8105;17.0339;15;5.6019;13.2635;9.019;10;NÃO;SIM
2025;14591;DISTRITO IND. SJP;2624;15811;18409;6.3267;32.7617;10.0475;9;5.1861;15.2769;6.6063;7;NÃO;SIM
2024;14591;DISTRITO IND. SJP;2495;15432;17912;6.76;44.3651;11.8851;10;5.5829;19.6968;7.5102;7;NÃO;NÃO
2023;14591;DISTRITO IND. SJP;2376;15168;17523;7.9819;36.1927;11.745;10;6.0907;15.6237;7.3641;7;NÃO;NÃO
2022;14591;DISTRITO IND. SJP;2296;14910;17191;5.2406;33.9031;9.0348;11;3.9615;14.8343;5.4002;8;SIM;SIM
2025;14592;CENTRO;0;16452;16452;0.0276;0;0.0276;2;0.0099;0;0.0099;2;SIM;SIM
2024;14592;CENTRO;0;16211;16211;0.0185;0;0.0185;2;0.0101;0;0.0101;2;SIM;SIM
2023;14592;CENTRO;0;16139;16139;0.015;0;0.015;2;0.008;0;0.008;2;SIM;SIM
2022;14592;CENTRO;0;15911;15911;0.0157;0;0.0157;2;0.0101;0;0.0101;2;SIM;SIM
2025;14593;GOV. PARIGOT DE SOUZA;4406;1385;5778;34.8573;60.5939;54.4336;45;16.7505;19.6221;18.9361;23;NÃO;SIM
2024;14593;GOV. PARIGOT DE SOUZA;4343;1376;5714;13.4278;72.9791;58.6812;47;5.7993;19.0398;15.8612;25;NÃO;SIM
2023;14593;GOV. PARIGOT DE SOUZA;4297;1398;5671;19.7044;77.3086;63.1847;49;15.8479;20.5973;19.4361;27;NÃO;SIM
2022;14593;GOV. PARIGOT DE SOUZA;4241;1384;5623;25.5062;107.702;87.3299;51;14.1108;23.4637;21.1435;28;NÃO;SIM
2025;14600;SALTO DO MEIO;5108;4187;9294;14.2439;49.3349;33.5367;25;10.6006;18.922;15.1776;13;NÃO;NÃO
2024;14600;SALTO DO MEIO;4988;4072;9059;17.084;49.6722;34.9504;25;13.8597;20.2386;17.3576;13;NÃO;NÃO
2023;14600;SALTO DO MEIO;5354;4016;8865;25.3044;60.4273;46.254;25;16.9206;24.2202;21.2857;14;NÃO;NÃO
2022;14600;SALTO DO MEIO;5249;3445;8686;19.777;60.7328;44.4991;25;17.8682;26.438;23.0403;14;NÃO;NÃO
2025;14603;TOMAZ COELHO;11;13581;13592;4.9078;7.15;4.9096;7;2.9034;4.4545;2.9047;4;SIM;SIM
2024;14603;TOMAZ COELHO;11;13233;13243;4.8305;9.7244;4.8347;7;4.4275;7.3;4.43;4;SIM;NÃO
2023;14603;TOMAZ COELHO;10;12985;12995;4.888;12.9967;4.8943;7;4.1012;10.5;4.1062;5;SIM;SIM
2022;14603;TOMAZ COELHO;10;12618;12628;3.6778;41.5017;3.7079;8;2.862;11.5;2.8689;5;SIM;SIM
2025;14611;SAO CRISTOVAO;226;36951;37177;3.7108;31.2386;3.8733;5;3.1386;9.9044;3.1786;4;SIM;SIM
2024;14611;SAO CRISTOVAO;209;35776;35985;3.9659;13.4908;4.0178;5;2.8781;7.4871;2.9035;4;SIM;SIM
2023;14611;SAO CRISTOVAO;182;34700;34882;4.4097;37.5527;4.5688;6;3.7356;10.3002;3.7668;5;SIM;SIM
2022;14611;SAO CRISTOVAO;159;33596;33754;4.4422;25.8355;4.5391;6;4.2782;9.7274;4.3033;5;SIM;SIM
2025;14619;SOCORRO;3165;8792;11957;5.1104;28.7004;11.346;15;2.8049;10.9526;4.9592;9;SIM;SIM
2024;14619;SOCORRO;3092;8664;11749;5.6668;28.8411;11.7585;16;2.8272;9.4958;4.5806;10;SIM;SIM
2023;14619;SOCORRO;3035;8546;11581;7.1504;30.1708;13.1326;16;4.1568;10.0536;5.6892;10;SIM;SIM
2022;14619;SOCORRO;2946;8457;11403;10.9082;31.8921;16.3224;17;13.5587;20.0858;15.2422;11;SIM;NÃO
2025;14621;JARDIM TROPICAL;442;69614;70056;4.2859;4.9401;4.29;5;3.9152;3.8387;3.9147;4;SIM;SIM
2024;14621;JARDIM TROPICAL;421;67723;68144;3.6527;7.0606;3.6735;5;3.0711;4.2392;3.0783;4;SIM;SIM
2023;14621;JARDIM TROPICAL;378;66090;66468;4.8337;6.8392;4.8451;6;2.6327;4.7436;2.6446;5;SIM;SIM
2022;14621;JARDIM TROPICAL;358;64437;64795;3.3218;7.3378;3.3432;6;2.7341;6.1009;2.7523;5;SIM;SIM
2025;14622;SANTO ANTONIO DO SUDOESTE;4232;13109;17339;7.0594;27.0791;11.9744;13;5.0581;12.2342;6.8198;8;SIM;SIM
2024;14622;SANTO ANTONIO DO SUDOESTE;4188;12891;17079;7.6605;36.4573;14.7465;13;4.5464;15.5011;7.2418;8;NÃO;SIM
2023;14622;SANTO ANTONIO DO SUDOESTE;4170;12725;16893;7.6344;36.6493;14.7872;13;4.8515;14.4179;7.2095;9;NÃO;SIM
2022;14622;SANTO ANTONIO DO SUDOESTE;4233;12600;16707;14.1492;51.2854;23.3319;14;5.9376;18.2724;8.9899;9;NÃO;SIM
2025;14623;SANTO ANTONIO DA PLATINA;3152;20366;23518;5.5497;18.6973;7.3124;10;3.5654;6.5377;3.9641;7;SIM;SIM
2024;14623;SANTO ANTONIO DA PLATINA;3110;20109;23217;7.7682;20.1761;9.4244;10;5.1194;7.5146;5.4389;7;SIM;SIM
2023;14623;SANTO ANTONIO DA PLATINA;3062;19942;23001;4.263;19.9391;6.3471;10;3.1368;6.3951;3.57;7;SIM;SIM
2022;14623;SANTO ANTONIO DA PLATINA;3028;19786;22811;3.0401;16.3376;4.7984;11;3.0666;7.2874;3.6247;8;SIM;SIM
2025;14624;SABARA;650;41319;41969;5.1325;17.0897;5.2964;6;3.5965;8.029;3.6566;5;SIM;SIM
2024;14624;SABARA;510;40829;41339;6.556;25.1887;6.7864;6;5.8325;9.0638;5.8725;5;NÃO;NÃO
2023;14624;SABARA;504;40027;40529;6.1049;25.836;6.3478;6;4.3632;7.851;4.4061;6;NÃO;SIM
2022;14624;SABARA;488;39165;39649;5.048;14.0173;5.1594;7;4.9678;8.2427;5.0088;6;SIM;SIM
2025;14626;ROLANDIA;2085;30326;32411;3.3214;6.4756;3.5247;5;2.5051;2.0253;2.4742;4;SIM;SIM
2024;14626;ROLANDIA;2045;29778;31814;2.8127;6.852;3.0751;5;2.2722;2.2802;2.2732;4;SIM;SIM
2023;14626;ROLANDIA;2046;29220;31266;2.9906;7.6236;3.2943;6;3.5756;4.5904;3.6421;5;SIM;SIM
2022;14626;ROLANDIA;2030;28696;30726;2.9992;6.9628;3.2608;6;2.7397;5.0172;2.8899;5;SIM;SIM
2025;14627;RIO AZUL;7847;8564;16411;4.8324;19.0671;11.6642;19;4.3123;9.7283;6.9107;11;SIM;SIM
2024;14627;RIO AZUL;7743;8386;16129;5.8515;24.9156;15.026;20;5.1792;14.5029;9.6642;11;SIM;SIM
2023;14627;RIO AZUL;7800;8228;15869;9.5404;21.7226;15.5253;21;7.8903;12.8459;10.3285;12;SIM;SIM
2022;14627;RIO AZUL;7730;7885;15597;6.6747;22.0989;14.3541;21;4.621;11.5303;8.0603;12;SIM;SIM
2025;14628;REALEZA;18860;44716;63576;6.4998;28.1063;12.9489;11;5.2056;13.7028;7.7415;8;NÃO;SIM
2024;14628;REALEZA;18697;43878;62560;7.9334;27.8501;13.9115;12;6.7651;13.3869;8.7525;9;NÃO;SIM
2023;14628;REALEZA;18621;43213;61834;6.764;27.684;13.0809;12;5.5667;14.1063;8.1457;9;NÃO;SIM
2022;14628;REALEZA;18743;42777;61369;7.4887;31.354;14.7498;13;7.5679;17.4041;10.56;10;NÃO;NÃO
2025;14629;QUEDAS DO IGUACU;5776;13278;19054;6.6042;26.9099;12.7415;16;5.6746;12.7425;7.8109;9;SIM;SIM
2024;14629;QUEDAS DO IGUACU;5673;13106;18779;9.6189;35.4731;17.4419;17;7.8772;16.5438;10.4993;10;NÃO;NÃO
2023;14629;QUEDAS DO IGUACU;5649;12993;18630;7.7324;25.2353;13.0345;18;6.7659;9.0365;7.4551;10;SIM;SIM
2022;14629;QUEDAS DO IGUACU;5645;12966;18604;7.7405;30.1467;14.5362;18;4.6544;10.9594;6.5667;11;SIM;SIM
2025;14631;PORTO;1;3609;3610;1.1179;4.75;1.1191;6;0.8695;3;0.8702;5;SIM;SIM
2024;14631;PORTO;0;3550;3550;1.5248;0;1.5248;6;1.4136;0;1.4136;5;SIM;SIM
2023;14631;PORTO;0;3520;3520;2.5138;0;2.5138;6;2.4057;0;2.4057;5;SIM;SIM
2022;14631;PORTO;0;3497;3497;4.2556;0;4.2556;6;2.2093;0;2.2093;5;SIM;SIM
2025;14632;PITANGA;14530;17777;32249;6.7355;30.5683;17.4956;19;6.5695;17.2517;11.388;10;SIM;NÃO
2024;14632;PITANGA;14478;17414;31892;8.7383;37.1457;21.6604;19;7.916;19.3759;13.1259;11;NÃO;NÃO
2023;14632;PITANGA;14424;17219;31643;11.4049;41.2106;25.0069;20;10.0428;21.501;15.2727;11;NÃO;NÃO
2022;14632;PITANGA;14263;16949;31212;9.0821;44.9321;25.5045;20;8.2065;20.2414;13.7196;12;NÃO;NÃO
2025;14633;TAFISA;14841;7223;20612;9.2252;18.1421;15.5816;18;9.798;13.5139;12.4423;10;SIM;NÃO
2024;14633;TAFISA;14603;5662;20265;15.6754;25.6522;22.8373;18;17.7522;21.0139;20.0936;10;NÃO;NÃO
2023;14633;TAFISA;14287;5539;19551;11.8922;24.9404;21.3946;19;11.2914;14.7912;13.8397;11;NÃO;NÃO
2022;14633;TAFISA;13787;5186;18973;12.4652;29.3396;24.7037;19;14.8635;20.3266;18.8255;11;NÃO;NÃO
2025;14634;PARANAVAI;4960;60610;65570;4.387;24.9418;5.9392;7;2.7905;10.2331;3.3526;5;SIM;SIM
